NAME,YEAR,NOTE
Batman,(2022),8.0
O Homem do Norte,(2022),7.8
365 Dias: Hoje,(2022),2.6
Uncharted - Fora do Mapa,(2022),6.4
Everything Everywhere All at Once,(2022),8.8
Doutor Estranho no Multiverso da Loucura,(2022),
Thor: Love and Thunder,(2022),
O Peso do Talento,(2022),7.5
365 dni,(2020),3.3
X,(2022),6.7
O Telefone Preto,(2021),7.5
Animais Fantásticos: Os Segredos de Dumbledore,(2022),6.5
Ambulância - Um Dia de Crime,(2022),6.2
Morte no Nilo,(2022),6.3
K.G.F: Chapter 2,(2022),9.0
Os Caras Malvados,(2022),6.9
Homem-Aranha: Sem Volta para Casa,(2021),8.4
Jurassic World: Domínio,(2022),
Diário de um Jornalista Bêbado,(2011),6.1
Sonic 2: O Filme,(2022),6.9
Cidade Perdida,(2022),6.6
Aquaman,(2018),6.8
Duna,(2021),8.1
Avatar: O Caminho das Águas,(2022),
The Survivor,(2021),6.9
Barbie,(2023),
"Não Se Preocupe, Querida",(2022),
Morbius,(2022),5.1
Top Gun: Maverick,(2022),
The Gray Man,(2022),
Metal Lords,(2022),6.7
Downton Abbey II: Uma Nova Era,(2022),7.6
Moonfall: Ameaça Lunar,(2022),5.2
No Ritmo do Coração,(2021),8.0
The Outfit,(2022),7.1
RRR (Rise Roar Revolt),(2022),8.4
O Projeto Adam,(2022),6.7
Red: Crescer é uma Fera,(2022),7.0
All the Old Knives,(2022),6.1
Sing 2,(2021),7.4
Animais Fantásticos: Os Crimes de Grindelwald,(2018),6.5
Piratas do Caribe: A Maldição do Pérola Negra,(2003),8.0
Father Stu,(2022),7.0
Silverton: Cerco Fechado,(2022),6.0
O Poderoso Chefão,(1972),9.2
Batman: O Cavaleiro das Trevas,(2008),9.0
Escolha ou Morra,(2022),4.7
King's Man: A Origem,(2021),6.3
Sem Tempo Para Morrer,(2021),7.3
A Bolha,(2022),4.7
Encanto,(2021),7.2
Lightyear,(2022),
Eternos,(2021),6.4
A Bruxa,(2015),6.9
Memory,(2022),5.6
Próxima Parada: Apocalipse,(2018),5.0
O Beco do Pesadelo,(2021),7.1
Águas Profundas,(2022),5.4
9 Bullets,(2022),3.8
K.G.F: Chapter 1,(2018),8.2
Pânico,(2022),6.4
Animais Fantásticos e Onde Habitam,(2016),7.2
Um Sonho de Liberdade,(1994),9.3
Top Gun: Ases Indomáveis,(1986),6.9
O Farol,(2019),7.4
Fresh,(2022),6.7
Oppenheimer,(2023),
Crush,(2022),6.2
Venom: Tempo de Carnificina,(2021),6.0
Piratas do Caribe: A Vingança de Salazar,(2017),6.5
Magnatas do Crime,(2019),7.8
The Expendables 4,72,
Infiltrado,(2021),7.1
Casa Gucci,(2021),6.6
Free Guy: Assumindo o Controle,(2021),7.1
Ghostbusters: Mais Além,(2021),7.1
Não Olhe para Cima,(2021),7.2
Love,(2015),6.0
Psicopata Americano,(2000),7.6
"Amor, Sublime Amor",(2021),7.2
Vingadores: Ultimato,(2019),8.4
Licorice Pizza,(2021),7.3
Sonic: O Filme,(2020),6.5
Interestelar,(2014),8.6
Doutor Estranho,(2016),7.5
Assassinato no Expresso do Oriente,(2017),6.5
Jersey,(2022),7.0
Avatar,(2009),7.8
O Esquadrão Suicida,(2021),7.2
O Lobo de Wall Street,(2013),8.2
Harry Potter e a Pedra Filosofal,(2001),7.6
G.I. Joe Origens: Snake Eyes,(2021),5.3
Aquaman 2,(2023),
Ataque dos Cães,(2021),6.9
Firestarter,(2022),
Liga da Justiça de Zack Snyder,(2021),8.0
Matrix Resurrections,(2021),5.7
Operation Mincemeat,(2021),6.9
Coringa,(2019),8.4
London Fields: Romance Fatal,(2018),3.9
